step,chosen_node,eta_pred,eta_real
1,1,83.240,43.588
2,1,103.942,42.152
3,4,98.681,72.483
4,4,117.330,68.856
5,1,105.844,45.173
6,4,106.222,66.935
7,2,100.126,86.364
8,1,78.979,42.489
9,1,85.409,41.129
10,4,78.034,56.704
11,4,88.030,55.670
12,1,78.248,42.600
13,4,85.360,48.877
14,1,86.984,47.082
15,4,85.334,42.916
16,4,89.142,43.387
17,1,83.939,48.615
18,4,83.156,47.786
19,4,88.110,46.946
20,4,89.240,47.861
21,4,90.671,45.317
22,4,92.589,45.409
23,1,91.752,57.546
24,4,88.061,42.652
25,4,89.986,43.853
26,1,88.624,48.809
27,4,85.374,40.858
28,4,90.968,40.354
29,1,85.826,57.457
30,4,87.028,36.109
31,4,91.304,32.793
32,4,89.649,33.761
33,1,91.804,55.995
34,4,85.263,31.057
35,4,90.924,26.814
36,2,89.238,73.501
37,4,87.226,30.033
38,2,85.867,68.660
39,2,87.471,71.822
40,4,81.720,25.980
41,1,90.194,70.024
42,4,87.122,26.242
43,2,83.304,62.059
44,2,85.086,65.131
45,4,83.131,30.987
46,2,81.420,68.141
47,2,91.593,69.203
48,4,86.833,33.262
49,4,95.513,37.761
50,4,97.791,36.993
51,1,93.722,78.154
52,4,95.243,42.992
53,4,100.891,42.208
54,1,99.916,80.988
55,4,98.482,48.472
56,1,100.323,84.196
57,4,93.153,50.530
58,4,92.348,47.591
59,4,94.628,54.551
60,4,111.560,57.060
61,2,104.119,79.527
62,4,111.420,1545.760
63,2,118.268,74.013
64,4,119.377,1552.500
65,2,113.043,76.395
66,1,115.773,64.908
67,2,108.385,78.161
68,4,107.397,56.964
69,4,109.197,59.538
70,2,104.659,85.421
71,4,108.025,58.277
72,1,117.811,68.649
73,2,112.380,81.624
74,4,112.224,57.108
75,1,107.238,61.500
76,1,109.899,66.502
77,2,109.155,80.577
78,2,118.017,80.230
79,1,106.314,60.973
80,4,112.438,55.841
81,2,116.432,85.462
82,3,111.511,88.734
83,4,111.326,57.376
84,3,113.741,84.255
85,2,113.449,82.267
86,3,112.520,89.275
87,4,113.234,71.942
88,1,114.106,69.225
89,3,116.316,81.967
90,4,109.100,78.904
91,2,109.530,58.747
92,2,110.601,62.085
93,2,107.639,61.471
94,2,105.895,66.007
95,2,117.252,62.786
96,2,111.781,60.545
97,1,106.567,68.586
98,2,105.588,61.216
99,1,111.385,66.950
100,1,114.584,68.298
101,2,107.579,59.897
102,1,113.875,75.987
103,2,106.099,58.266
104,2,106.498,54.004
105,1,107.938,84.854
106,2,98.827,56.562
107,2,107.594,51.900
108,2,99.915,53.916
109,2,103.961,58.681
110,1,113.282,88.432
111,3,115.722,96.255
112,1,119.387,95.046
113,2,104.383,51.443
114,2,101.606,50.357
115,2,101.548,53.805
116,2,103.557,54.787
117,3,104.510,75.130
118,3,115.039,75.808
119,2,113.883,48.841
120,3,107.515,83.184
121,2,103.599,49.678
122,2,107.310,47.180
123,2,117.957,49.503
124,2,117.308,45.514
125,2,104.546,44.364
126,2,106.164,47.755
127,2,114.397,50.491
128,2,120.154,47.601
129,3,108.851,95.396
130,2,111.019,46.975
131,2,113.943,47.522
132,3,111.140,88.816
133,2,120.414,54.670
134,1,115.259,90.708
135,4,115.836,91.178
136,2,113.881,53.253
137,3,112.448,90.842
138,4,116.766,88.996
139,3,115.838,91.963
140,2,110.516,50.495
141,1,109.481,95.722
142,2,110.843,55.745
143,2,105.378,59.695
144,2,99.225,59.896
145,2,94.351,62.422
146,2,98.049,61.574
147,2,100.047,63.242
148,2,104.105,67.740
149,2,107.188,68.077
150,2,109.853,64.457
151,1,105.855,75.121
152,3,99.478,94.946
153,2,100.200,62.112
154,1,99.928,74.816
155,3,100.809,98.956
156,2,100.373,69.016
157,1,99.366,84.127
158,2,102.261,68.990
159,2,109.552,63.823
160,3,103.605,93.465
161,2,104.525,65.849
162,2,107.140,69.224
163,2,108.881,67.576
164,2,108.794,65.048
165,2,112.026,62.696
166,2,112.037,61.275
167,2,112.050,61.670
168,2,113.019,61.611
169,2,112.610,65.331
170,2,115.492,65.674
171,2,118.719,65.674
172,4,118.795,73.271
173,2,117.882,65.674
174,3,118.658,103.489
175,2,118.594,65.674
176,0,122.676,108.572
177,2,119.371,65.674
178,4,119.959,73.271
179,2,120.144,65.674
180,2,124.308,65.674
181,4,120.301,73.271
182,2,119.413,65.674
183,2,122.821,65.674
184,2,122.466,65.674
185,4,118.865,73.271
186,2,117.242,65.674
187,3,120.709,103.489
188,2,115.381,65.674
189,2,119.284,65.674
190,2,119.620,65.674
191,2,120.065,65.674
192,4,120.343,73.271
193,2,116.480,65.674
194,3,122.180,103.489
195,2,116.380,65.674
196,2,120.484,65.674
197,4,119.194,73.271
198,0,120.766,108.572
199,2,112.820,65.674
200,4,119.002,73.271
